community_id,top_10_mesh_terms
n2-3902,"Coronary Artery Disease / therapy;Middle Aged;Antibodies, Monoclonal / therapeutic use*;Male;Humans;Coronary Artery Disease / etiology;Abciximab;Randomized Controlled Trials as Topic;Diabetes Mellitus / surgery*;Databases, Factual"
n2-3903,"Wetlands;Phylogeny*;Sequence Analysis, DNA / methods*;Metagenome*;Bacteria / genetics*;Bacteria / classification;Archaea / classification;Drinking Water / microbiology;Datasets as Topic;Fungi / classification"
n2-3904,"Animals;Disease Models, Animal;Mice;Mice, Knockout;Group X Phospholipases A2 / metabolism*;Group V Phospholipases A2 / metabolism*;Ovalbumin / immunology;Polymerase Chain Reaction;Asthma / genetics;Asthma / immunology*"
n2-3905,"Fertilization in Vitro / methods;Sperm Injections, Intracytoplasmic / methods;Fertilization / physiology*;Embryo Transfer / methods;Male;Humans;Pregnancy;Pregnancy Rate;Pregnancy Outcome;Infertility, Male / etiology"
n2-3906,Eyeglasses / economics*;Visual Acuity / physiology*;Refractive Errors / economics;Commerce;Investments;Male;Humans;China;Schools / economics;Prescriptions / economics
n2-3907,"Insulin-Secreting Cells / metabolism*;Signal Transduction / drug effects;Mice, Inbred BALB C;Signal Transduction / genetics;Real-Time Polymerase Chain Reaction;Cell Line, Tumor;Gene Regulatory Networks / drug effects;Staining and Labeling;Cell Differentiation / drug effects;Neoplastic Stem Cells / metabolism"
n2-3908,"Liver Neoplasms / pathology;Disease Progression;Middle Aged;Neoplasm Transplantation;Male;Cell Proliferation;Humans;MicroRNAs / physiology*;Gene Expression Regulation, Neoplastic*;Mice"
n2-3909,Humans;Legionella pneumophila / genetics;Bacterial Proteins / genetics;Pseudomonas aeruginosa / isolation & purification;Risk Factors;Legionella / genetics;Water Microbiology*;Temperature;Legionella pneumophila / isolation & purification;Serogroup
n2-3910,"Signal Transduction / genetics;Gene Regulatory Networks;Genome, Human / genetics*;Humans;Male;Gene Expression Regulation, Neoplastic*;Reverse Transcriptase Polymerase Chain Reaction;Hepatoblastoma / blood;Hepatoblastoma / genetics*;Liver Neoplasms / blood"
n2-3911,"Nematoda / classification;Ficus / parasitology*;Phylogeny;Animals;Genes, Protozoan;Male;China;Bayes Theorem;Nematoda / genetics*;Nematoda / anatomy & histology*"
n2-3912,"Doxorubicin / pharmacology*;Receptor, ErbB-2 / metabolism;Doxorubicin / metabolism;Animals;Cell Line, Tumor;Spectrometry, Fluorescence;Humans;Mice;Ultrasonics;Drug Screening Assays, Antitumor"
n2-3913,"Stress, Physiological*;Triticum / drug effects*;Triticum / growth & development;Triticum / metabolism;Droughts;Melatonin / pharmacology*;Seeds / metabolism;Polyethylene Glycols / toxicity*;Seeds / drug effects*;Antioxidants / pharmacology*"
n2-3914,"Chromatin / genetics;Gene Expression Regulation, Developmental*;Pharynx / growth & development;Pharynx / metabolism;Digestive System / metabolism;Animals;Caenorhabditis elegans Proteins / metabolism*;Caenorhabditis elegans / growth & development*;Caenorhabditis elegans Proteins / genetics;Organ Specificity"
n2-3915,Brain / physiology*;Humans;Neuropsychological Tests;Happiness*;Case-Control Studies
n2-3916,Genetic Predisposition to Disease*;Humans;Neoplasm Grading;Neoplasm Invasiveness;Endometrial Neoplasms / genetics*;Case-Control Studies;Risk Factors;Sterol Regulatory Element Binding Protein 1 / genetics*;Genotyping Techniques;Myometrium / pathology
n2-3917,Glycine max / physiology*;Plant Leaves / chemistry;Orobanche / drug effects;Germination / physiology*;Soil;Plant Extracts / pharmacology;Orobanche / growth & development*;Germination / drug effects;Glycine max / drug effects;Rhizosphere
n2-3918,"Brassica napus / genetics;Seeds / metabolism;Plant Proteins / antagonists & inhibitors;Sequence Alignment;Gene Expression Regulation, Plant;Seeds / chemistry;MicroRNAs / metabolism*;Brassica napus / metabolism*;Sequence Analysis, RNA;Brassica napus / growth & development"
n2-3919,"Wolves / virology*;Distemper Virus, Canine / pathogenicity*;Cause of Death;Animals;Distemper Virus, Canine / genetics;Animals, Wild / virology;Italy;Europe;Molecular Sequence Data;Reverse Transcriptase Polymerase Chain Reaction"
n2-3920,"Copper / blood*;Liver Neoplasms / blood*;Phenylurea Compounds / therapeutic use;Carcinoma, Hepatocellular / blood*;Quinolines / therapeutic use;Biomarkers, Tumor / blood*;Male;Humans;Liver Neoplasms / drug therapy;Metallothionein / blood*"
n2-3921,Animals;Elasmobranchii*;Fisheries*;Italy
n2-3922,Pigmentation / drug effects;Eye / drug effects;Humans;Protein Binding / drug effects;Acetylation / drug effects;Eye / ultrastructure;DNA Repeat Expansion;Machado-Joseph Disease / metabolism*;Life Expectancy;Histones / metabolism*
n2-3923,Overweight / epidemiology*;Visual Acuity;Obesity / epidemiology*;China / epidemiology;Hypertension / epidemiology*;Male;Humans;Eye Diseases / epidemiology*;Body Weight;Body Mass Index
n2-3924,Nitrogen / chemistry*;Biomass;Ecosystem;Tibet;Plants;Phosphorus / chemistry*;Carbon / chemistry*;Soil Microbiology;Grassland*;Soil / chemistry*
n2-3925,"Liver Neoplasms / pathology;Prognosis;Middle Aged;Carcinoma, Hepatocellular / pathology*;Male;Humans;Carcinoma, Hepatocellular / classification*;Neoplasm Recurrence, Local / pathology;Immunohistochemistry / methods;Hepatectomy / methods"
n2-3926,Animals;Densovirus / pathogenicity*;Ecosystem;Atlantic Ocean;Real-Time Polymerase Chain Reaction;Virulence;Starfish / virology*;Rhodobacteraceae / pathogenicity*;Ostreidae / genetics*;Ostreidae / microbiology
n2-3927,"Mice, Inbred C57BL;Cell Line;Animals;Male;Reverse Transcriptase Polymerase Chain Reaction;Humans;Benchmarking;Software*;DNA, Complementary / chemistry;High-Throughput Nucleotide Sequencing"
n2-3928,"Swine, Miniature / embryology*;Nutrients / chemistry*;Animals;Fatty Acids / analysis;Reproduction;Animal Feed / analysis;Pregnancy;Body Weight*;Fetus / physiology;Meat Proteins / analysis"
n2-3929,Educational Status*;Magnetic Resonance Imaging;Male;Brain / physiology*;Brain / diagnostic imaging;Humans;Female;Brain Mapping*;Child
n2-3930,"Lymphocyte Count;Prognosis;Middle Aged;Male;Humans;Mean Platelet Volume;Lung Neoplasms / drug therapy*;Carcinoma, Non-Small-Cell Lung / blood*;Mutation;Adult"
n2-3931,"Cells, Cultured;Mutation / genetics;Enoyl-CoA Hydratase / metabolism*;Real-Time Polymerase Chain Reaction;Reverse Transcriptase Polymerase Chain Reaction;Blotting, Western;Microscopy, Immunoelectron;Fatty Acids / chemistry*;RNA, Messenger / genetics;Peroxisomes / metabolism*"
n2-3932,"Basophils / cytology;Cloning, Molecular;Antigens, Dermatophagoides / genetics;Immune Sera / chemistry;Recombinant Proteins / chemistry;Male;Protein Conformation, alpha-Helical;Humans;Pyroglyphidae / chemistry*;Arthropod Proteins / genetics"
n2-3933,"Cross Reactions;Mice, Inbred BALB C;Antibodies / metabolism;Animals;Immunoenzyme Techniques / methods*;Mycotoxins / analysis*;Enzyme-Linked Immunosorbent Assay;Zeranol / analysis;Zea mays / chemistry;Breeding"
n2-3934,"RNA, Ribosomal, 18S / genetics*;Oocysts;Drinking Water / parasitology*;Cryptosporidium parvum / genetics*;Animals;Humans;Real-Time Polymerase Chain Reaction / methods*;RNA, Protozoan / genetics*;Mice;Principal Component Analysis"
n2-3935,"Saliva / chemistry*;Likelihood Functions;Humans;Biomarkers, Tumor / analysis;Neoplasms / diagnosis*;MicroRNAs / analysis*;Sensitivity and Specificity;Odds Ratio;Genes, Fungal;Transcription, Genetic*"
n2-3936,"Polyethylene Glycols / chemistry*;Botulinum Toxins, Type A;Animals;Botulinum Toxins / isolation & purification*;Botulinum Toxins / toxicity;Mice;Chromatography, Liquid / methods*"
n2-3937,"Colony Count, Microbial;Polymerase Chain Reaction / methods*;Feces / microbiology*;Microbiota*;Ethnicity*;Humans;China;DNA Primers;Base Sequence;Phenylacetates / chemistry"
n2-3938,"Cell Fractionation / methods*;Extracellular Vesicles / virology;Endothelial Cells / virology;Human Umbilical Vein Endothelial Cells;Herpesvirus 8, Human / isolation & purification;Herpesviridae Infections / virology;Humans;Endothelial Cells / chemistry*;RNA / analysis;Biomarkers / analysis"
n2-3939,"Receptor, ErbB-2 / metabolism;Disease Progression;Middle Aged;Breast Neoplasms / metabolism;Humans;Neoplasm Grading;DNA Methylation*;Breast Neoplasms / genetics*;Breast Neoplasms / mortality;Epigenesis, Genetic"
n2-3940,Prognosis;Middle Aged;Male;Neoplasm Invasiveness / genetics;Humans;Bortezomib / pharmacology;Ubiquitin Thiolesterase / deficiency*;CpG Islands;Down-Regulation;Mutation*
n2-3941,Mutation*;Lymphangioleiomyomatosis / pathology;Humans;Lymphangioleiomyomatosis / diagnostic imaging;China;Tuberous Sclerosis Complex 2 Protein / genetics*;Tuberous Sclerosis Complex 1 Protein / genetics*;DNA Copy Number Variations;Lymphangioleiomyomatosis / genetics*;Female
n2-3942,"Tandem Mass Spectrometry;Glycine max / growth & development*;Plant Leaves / metabolism;Gene Expression Regulation, Plant;Plant Leaves / growth & development*;Glycine max / metabolism;Cluster Analysis;Plant Proteins / metabolism*;Plant Proteins / genetics"
n2-3943,"Leukocyte Common Antigens / metabolism;Endometrium / blood supply*;Middle Aged;Humans;Neovascularization, Physiologic / drug effects;Menstrual Cycle / metabolism*;Matrix Metalloproteinases / metabolism*;Mice;Endometrium / enzymology;Neovascularization, Physiologic / physiology*"
n2-3944,"Humans;Liver Neoplasms / pathology;ADAM17 Protein / genetics*;Liver / metabolism;Transcriptional Activation / genetics;Cell Proliferation / genetics;Signal Transduction / genetics;Hep G2 Cells;Gene Expression Regulation, Neoplastic / genetics;Carcinoma, Hepatocellular / genetics*"
n2-3945,"Oxindoles;Diterpenes / chemistry;Humans;G1 Phase;Indoles / pharmacology*;Models, Chemical;Cell Line, Tumor;DNA Damage;Antineoplastic Agents / chemistry;Diterpenes / pharmacology*"
n2-3946,"Sequence Analysis, DNA;Phagocytosis / drug effects;Bacterial Proteins / genetics;Antibodies, Monoclonal / immunology;Mice;Peritonitis / drug therapy;Staphylococcal Infections / drug therapy;Bacterial Proteins / immunology;Sepsis / microbiology*;Bacterial Proteins / metabolism"
n2-3947,"Suicide / statistics & numerical data*;Republic of Korea / epidemiology;Imitative Behavior;Social Media / statistics & numerical data*;Male;Models, Statistical;Humans;Multivariate Analysis;Suicide / trends;Famous Persons"
n2-3948,Japan;Geographic Information Systems*;Emergency Shelter;Tsunamis*;Computer Simulation*;Equipment and Supplies;Home Care Services*;Geography;Time Factors;Electric Power Supplies*
n2-3949,"Phylogeny*;Sequence Analysis, DNA;Lamiaceae / genetics;DNA, Plant / genetics;Vietnam;Lamiaceae / classification*"
n2-3950,"Glucose / metabolism;Fatty Acids / metabolism;Muscle Fibers, Skeletal / metabolism*;Rats;Glucose Transporter Type 4 / genetics;Cell Line;Animals;Myoglobin / genetics;Triglycerides / metabolism;MEF2 Transcription Factors / metabolism"
n2-3951,Animals;Sleep Deprivation / physiopathology*;Female;Milk / metabolism;Lactation*;Dairying*;Electroencephalography;Posture*;Pregnancy;Cattle
n2-3952,"Microvessels / pathology;Adenoma / blood supply;Adenoma / genetics*;Humans;Pituitary Neoplasms / blood supply;Pituitary Neoplasms / genetics*;Pituitary Neoplasms / pathology;Securin / genetics*;Gene Expression Regulation, Neoplastic*;Securin / metabolism"
n2-3953,"Transgenes;Genetic Engineering / methods;Animals, Genetically Modified / genetics*;Animals;Male;Organ Specificity;Green Fluorescent Proteins / genetics;Blotting, Southern;Insemination, Artificial;Lentivirus / genetics*"
n2-3954,"Mice, Inbred C57BL;Myeloid Cells / metabolism;Cell Movement / immunology;Hyperalgesia / genetics;Neutrophils / immunology*;Leukocytes / immunology;Bone Marrow Cells / immunology;Cell Movement / genetics;Arthritis, Experimental / immunology;Leukocytes / metabolism"
n2-3955,"Pilot Projects;Time Factors;Male;Humans;Tuberculosis, Pulmonary / diagnosis*;Microscopy / methods*;Sputum / microbiology*;Demography;Female;Adult"
n2-3956,"Imaging, Three-Dimensional;Tomography / methods*;Animals;Cell Line, Tumor;Transcriptome*;Photoacoustic Techniques / methods*;Lac Operon / genetics;Microscopy;Mice;Genes, Reporter / genetics"
n2-3957,Nitrogen / chemistry*;Nitrous Oxide / chemistry*;Soil / chemistry*;Wetlands*;Tibet;Hexosaminidases / chemistry;Acid Phosphatase / chemistry;Phosphorus / chemistry*;Gases;Temperature
n2-3958,Seminiferous Tubules / cytology;Antigens / immunology;Clone Cells;Male;Humans;Immunohistochemistry;Neoplasm Proteins / metabolism;Testis / metabolism*;Mutation / genetics;Spermatogonia / metabolism*
n2-3959,"Podocytes / drug effects*;Rats, Sprague-Dawley;Rats;Glucose / pharmacology*;Cell Line;Animals;Male;Triterpenes / pharmacology*;Antioxidants / pharmacology*;Reactive Oxygen Species / metabolism"
n2-3960,"Liver / metabolism;Muscle, Skeletal / metabolism;Didanosine / pharmacology;Zidovudine / pharmacology;Mice;Lamivudine / pharmacology;Neurons / cytology;Antimetabolites / pharmacology*;Cerebral Cortex / metabolism;Mitochondria / drug effects*"
n2-3961,"NF-kappa B / immunology*;Signal Transduction / drug effects;Mice, Inbred BALB C;Male;Down-Regulation / drug effects;G1 Phase / drug effects;Cell Proliferation / drug effects;Mice;T-Lymphocytes / drug effects;Umbelliferones / immunology*"
n2-3962,"Prognosis;Middle Aged;Male;Carcinoma, Hepatocellular / metabolism*;Humans;Gene Expression Regulation, Neoplastic*;Immunohistochemistry / methods;Zinc Finger E-box Binding Homeobox 2;Homeodomain Proteins / biosynthesis*;Cytoplasm / metabolism"
n2-3963,"Hernia, Inguinal / genetics;Animals;Chromosome Mapping;Male;Haplotypes*;Genomics*;Hernia, Inguinal / veterinary*;Swine / genetics*;Polymorphism, Single Nucleotide"
n2-3964,"Middle Aged;Stomach Neoplasms / blood*;Biomarkers, Tumor / blood;Transcriptome;Male;MicroRNAs / blood*;Humans;Biomarkers, Tumor / analysis;MicroRNAs / analysis;Stomach / pathology"
n2-3965,"Animals;Agriculture / methods;Macrolides / chemistry;Behavior, Animal*;Nitriles / chemistry;Oviposition / drug effects*;Pyrethrins / chemistry;Species Specificity;Insecticide Resistance*;Biological Assay"
n2-3966,Middle Aged;Female;Male;Humans;Learning;Imitative Behavior*;Tool Use Behavior*;Adolescent;Social Behavior*;Culture*
n2-3967,"Bone Morphogenetic Proteins / physiology;Drosophila Proteins / physiology*;Receptors, Notch / physiology*;Cell Adhesion*;Drosophila melanogaster / cytology;Animals;RNA-Binding Proteins / physiology;Cdh1 Proteins / metabolism;Cell Proliferation;Drosophila Proteins / metabolism"
n2-3968,Environment*;Least-Squares Analysis;Animals;Dairying / methods*;Farms;Cattle;France;Female
n2-3969,Middle Aged;Male;Humans;Bacteremia / blood;Neutropenia / complications;Procalcitonin / blood*;Adult;Bacteremia / complications*;C-Reactive Protein / metabolism;Neutropenia / blood
n2-3970,"Middle Aged;Age Factors;Male;Humans;Child, Preschool;Risk Factors;Tuberous Sclerosis / physiopathology*;Odds Ratio;Lymphangioleiomyomatosis / genetics*;Adult"
n2-3971,"Surface Properties;Bone Screws*;Imaging, Three-Dimensional;Sheep;Biomechanical Phenomena;Animals;Titanium / chemistry*;Osseointegration;Materials Testing;RNA, Messenger / analysis"
n2-3972,"Mice, Inbred C57BL;Male;Receptors, Leptin / genetics;Mice;STAT3 Transcription Factor / metabolism;Diet, High-Fat / adverse effects*;Neurons / metabolism*;Pro-Opiomelanocortin / metabolism*;Animals;Suppressor of Cytokine Signaling 3 Protein"
n2-3973,"Escherichia coli / genetics*;Sequence Analysis, DNA;Humans;Adhesins, Bacterial / genetics;Feces / microbiology*;Meat / microbiology*;Polymorphism, Genetic;Escherichia coli / classification;Animals;Escherichia coli / isolation & purification"
n2-3974,"Manihot / genetics;Polymerase Chain Reaction / methods*;Starch / chemistry*;DNA, Plant / genetics;Food Analysis / standards;Food Analysis / methods*;Polymerase Chain Reaction / standards;Starch / standards;Manihot / chemistry*;DNA, Plant / analysis"
n2-3975,"Neisseria gonorrhoeae / immunology*;Gene Deletion*;Neisseria gonorrhoeae / genetics*;Antibodies, Bacterial / immunology*;Humans;Gonorrhea / immunology*;Neisseria gonorrhoeae / growth & development;Bacterial Outer Membrane Proteins / genetics*;Gonorrhea / genetics;Bacterial Outer Membrane Proteins / immunology"
n2-3976,"Seminiferous Tubules / cytology;Receptors, Transforming Growth Factor beta / metabolism*;Mice, Inbred C57BL;Animals;Male;Protein Serine-Threonine Kinases / metabolism*;Cell Proliferation;Receptor, Transforming Growth Factor-beta Type I;Animals, Newborn;Seminiferous Tubules / anatomy & histology*"
n2-3977,"Endocytosis;Protein Structure, Tertiary;Adaptor Proteins, Signal Transducing / metabolism*;Mice, Inbred C57BL;Protein Transport;Receptors, Antigen, B-Cell / metabolism*;Proto-Oncogene Proteins c-cbl / chemistry;Animals;Antigens / immunology*;Spleen / enzymology"
n2-3978,"Signal Transduction / radiation effects;Fibroblasts / radiation effects;Dose-Response Relationship, Radiation;Humans;Radiation Tolerance;Colony-Forming Units Assay;Cell Cycle Checkpoints / radiation effects*;Mice;Cellular Senescence / genetics;G1 Phase Cell Cycle Checkpoints"
n2-3979,"Mice;Animals;Female;Humans;Forkhead Transcription Factors / metabolism*;Dendritic Cells / drug effects;Enzyme-Linked Immunosorbent Assay;T-Lymphocytes, Regulatory / metabolism*;Transforming Growth Factor beta1 / metabolism*;Thyroglobulin / metabolism"
n2-3980,"Genes, Plant / genetics*;Panicum / genetics*;DNA Primers / genetics;Gene Expression Profiling / standards*;Real-Time Polymerase Chain Reaction / standards*;Reference Standards"
n2-3981,"Hair Follicle / growth & development;Mice, Inbred C57BL;Male;Thiobarbituric Acid Reactive Substances / metabolism;Antioxidants / pharmacology;Stress, Psychological / metabolism*;Chronic Disease;Mice;Oxidative Stress / drug effects;Hair Follicle / drug effects"
n2-3982,Hydroxymethylglutaryl-CoA Reductase Inhibitors / therapeutic use*;Middle Aged;Severity of Illness Index;Angiotensin-Converting Enzyme Inhibitors / therapeutic use*;Male;Humans;Hospitalization / statistics & numerical data;Acute Coronary Syndrome / therapy;Acute Coronary Syndrome / prevention & control*;Adrenergic beta-Antagonists / therapeutic use*
n2-3983,Computational Biology / methods*;Proteome;Software;Proteins / chemistry;Protein Kinases*;Humans;Amino Acid Sequence;Proteins / physiology*;Protein Conformation
n2-3984,"Escherichia coli Proteins / metabolism;Replication Protein A / metabolism*;DNA-Binding Proteins / metabolism;DNA Topoisomerases, Type I / metabolism*;Enzyme Activation;Protein Binding;Replication Protein A / antagonists & inhibitors;Multiprotein Complexes / metabolism;RecQ Helicases / metabolism*;Carrier Proteins / metabolism*"
n2-3985,"Conserved Sequence / genetics;Animals;Cell Survival;Forkhead Transcription Factors / metabolism*;Poly (ADP-Ribose) Polymerase-1;Poly(ADP-ribose) Polymerases / metabolism*;Protein Stability;Base Sequence;Forkhead Transcription Factors / genetics;T-Lymphocytes, Regulatory / enzymology*"
n2-3986,"Chromosome Aberrations;Sequence Analysis, DNA / methods*;Chromosomes, Human, Pair 15 / genetics*;High-Throughput Nucleotide Sequencing / methods*;Humans;Oligonucleotide Array Sequence Analysis;Trisomy*;In Situ Hybridization, Fluorescence;Chromosome Banding;Intellectual Disability / genetics*"
n2-3987,"Gastrulation;Gene Expression Regulation, Developmental*;Drosophila melanogaster / embryology*;Drosophila melanogaster / cytology;Animals;Zygote / metabolism*;Blastula / cytology*;Drosophila melanogaster / genetics;Transcription, Genetic;Cell Nucleus / metabolism*"
n2-3988,"Glutathione S-Transferase pi / genetics*;Incidence;Middle Aged;Chemical and Drug Induced Liver Injury / epidemiology;Genetic Predisposition to Disease*;Male;Tuberculosis, Pulmonary / drug therapy*;Humans;Tuberculosis, Pulmonary / epidemiology;Tuberculosis, Pulmonary / genetics"
n2-3989,"Insulin Resistance*;Male;Humans;Dyslipidemias / etiology*;Hydrocarbons, Chlorinated / toxicity;Pesticides / toxicity*;Polychlorinated Biphenyls / blood;Risk Factors;Case-Control Studies;Obesity / etiology*"
n2-3990,"Methylation;Humans;Azacitidine / pharmacology;Gene Expression Profiling;Cell Line, Tumor;Jumonji Domain-Containing Histone Demethylases / genetics*;Bone Marrow Cells / pathology;MicroRNAs / genetics*;Cluster Analysis;Enhancer of Zeste Homolog 2 Protein"
n2-3991,Dyslipidemias / epidemiology*;Dyslipidemias / complications*;Male;Humans;Risk Assessment;Anthropometry*;Schools*;Female;Atherosclerosis / complications*;Child
n2-3992,Ultrasonography;Microbubbles*;Animals;Blood Platelets / diagnostic imaging;Venous Thrombosis / physiopathology;Sus scrofa;Venous Thrombosis / surgery;Chronic Disease;Fluoroscopy;Central Venous Catheters
n2-3993,"Humans;Love*;Male;Psychometrics*;Cognition*;Models, Psychological;Female;Consensus*;Sample Size;Bayes Theorem*"
n2-3994,"Female;Animals;Maternal Deprivation*;Ultrasonics;Animals, Newborn / physiology;Stress, Psychological*;Behavior, Animal / physiology*;Vocalization, Animal / physiology*;Emotions / physiology;Mice"
n2-3995,"Image Processing, Computer-Assisted*;Positron-Emission Tomography / methods*;Software;Computer Graphics*;Animals;Humans;Algorithms*"
n2-3996,"Cloning, Molecular;Mice, Inbred BALB C;Bacterial Toxins / genetics*;Bacillus anthracis / genetics*;Flavobacterium / enzymology*;Bacterial Toxins / immunology;Anthrax Vaccines / genetics*;Anthrax Vaccines / metabolism;Antigens, Bacterial / genetics*;Protein Engineering"
n2-3997,"Trachea / metabolism;Signal Transduction / genetics;Dystrophin / deficiency;Muscle Contraction / physiology*;Myocytes, Smooth Muscle / cytology;Methacholine Chloride / pharmacology;Dystrophin / genetics;Phosphatidylinositol 3-Kinases / metabolism;Muscle Contraction / genetics;Myocytes, Smooth Muscle / metabolism"
n2-3998,Tandem Mass Spectrometry;Plant Roots / growth & development;Plant Leaves / metabolism;Sorghum / drug effects;Plant Leaves / growth & development;Sorghum / metabolism*;Plant Leaves / drug effects;Proteome;Sorghum / growth & development;Plant Shoots / growth & development
n2-3999,"Pyridines / pharmacology*;Cell Movement / drug effects;ATP Binding Cassette Transporter, Subfamily B, Member 1 / metabolism*;Cell Line, Tumor;Benzamides / pharmacology*;Humans;Protein Transport / drug effects;Antineoplastic Agents / pharmacology*;Gene Expression Regulation, Neoplastic / drug effects*;Epithelial-Mesenchymal Transition / drug effects"
n2-4000,Positron-Emission Tomography / methods*;Prognosis;Predictive Value of Tests;Male;Copper Radioisotopes*;Fluorodeoxyglucose F18;Humans;Thiosemicarbazones*;Head and Neck Neoplasms / metabolism;Fluorine Radioisotopes
n2-4001,"Neurosyphilis / cerebrospinal fluid*;Cystatin C / blood;Glomerular Filtration Rate / physiology;Peptide Fragments / cerebrospinal fluid*;Humans;Alzheimer Disease / cerebrospinal fluid*;Creatine / blood;Statistics, Nonparametric;Cystatin C / cerebrospinal fluid*;Immunohistochemistry"
n2-4002,"Male;Thrombolytic Therapy / adverse effects*;Cerebral Infarction / complications*;Recombinant Proteins / therapeutic use;Rats;Data Interpretation, Statistical;Stroke / complications*;Stroke / drug therapy;Sensitivity and Specificity;Animals"
n2-4003,Adiposity*;Skinfold Thickness;Male;Humans;Prospective Studies;Body Mass Index;Long Interspersed Nucleotide Elements*;DNA Methylation*;Female;Waist Circumference
n2-4004,"Quinolines / pharmacology*;Drug Synergism;Imidazoles / pharmacology*;Cell Line, Tumor;Cell Transformation, Neoplastic / drug effects*;Humans;Antineoplastic Agents / pharmacology*;Sirolimus / pharmacology;Cell Proliferation / drug effects*;Sirolimus / analogs & derivatives*"
n2-4005,"Brain / metabolism*;Oligodendroglia / immunology;Mice, Inbred C57BL;Patched Receptors / metabolism;Cells, Cultured;Oligodendroglia / metabolism*;Animals;Male;Hedgehog Proteins / immunology*;Hedgehog Proteins / metabolism*"
n2-4006,"Anti-HIV Agents / pharmacology*;Nicaragua;Sequence Analysis, RNA;Drug Resistance, Viral*;Male;Humans;HIV / genetics*;High-Throughput Nucleotide Sequencing;HIV Infections / virology*;Mutation Rate"
n2-4007,"Breast Neoplasms / metabolism;Humans;Membrane Glycoproteins / metabolism*;Membrane Glycoproteins / chemistry*;Mice;Membrane Proteins / metabolism*;Cell Line, Tumor;Neovascularization, Pathologic / metabolism*;Extracellular Space / metabolism*;ADAM Proteins / metabolism*"
n2-4008,Benzoxazines / pharmacology;Piperidines / pharmacology;Male;Polyunsaturated Alkamides / metabolism;Spinal Cord / metabolism;Amidohydrolases / metabolism;Hindlimb / drug effects;Amidohydrolases / antagonists & inhibitors*;Arachidonic Acids / metabolism;Benzamides / pharmacology
n2-4009,"Otitis Media / prevention & control*;Infant;Humans;Influenza Vaccines / administration & dosage*;Child, Preschool;Child;Taiwan"
n2-4010,"Animals;Integrin alpha2beta1 / genetics;Mice;Rats;Blood Platelets / metabolism*;Collagen / adverse effects;Thrombosis / metabolism*;Integrin alpha2beta1 / metabolism*;Platelet Activation / drug effects;Receptors, IgG / genetics"
n2-4011,"Chitosan / chemistry;Papain / chemistry*;Chromatography, High Pressure Liquid / methods;Temperature;Electrophoresis, Polyacrylamide Gel;Enzymes / chemistry;Water / chemistry;Biochemistry / methods;Enzymes, Immobilized / isolation & purification;Papain / isolation & purification"
n2-4012,"Nucleic Acid Conformation;Homologous Recombination;5' Untranslated Regions;Endodeoxyribonucleases / genetics*;Chromatin / metabolism;DNA / metabolism*;DNA Breaks, Double-Stranded;Cell Line;RNA Stability;HeLa Cells"
n2-4013,"Myasthenia Gravis / drug therapy*;Zinc Compounds / pharmacology;Gene Ontology*;Humans;Adalimumab / pharmacology;Gene Regulatory Networks*;Myasthenia Gravis / genetics*;Drug Repositioning;Databases, Pharmaceutical;Myasthenia Gravis / immunology"
n2-4014,"Mice, Inbred C57BL;Mice, Inbred BALB C;Prostaglandin-Endoperoxide Synthases / metabolism;Male;Cyclooxygenase Inhibitors / pharmacology*;Death, Sudden / etiology;Mice;Prostaglandin-Endoperoxide Synthases / chemistry*;Platelet Membrane Glycoproteins / metabolism;Platelet Activating Factor / toxicity*"
n2-4015,"Matrix Metalloproteinase 1 / metabolism;Cartilage / pathology*;Middle Aged;Male;Humans;Protein Biosynthesis / drug effects;Tissue Inhibitor of Metalloproteinase-1 / metabolism;Intervertebral Disc Degeneration / metabolism;Nitric Oxide Synthase / metabolism;RNA, Messenger / genetics"
n2-4016,"Mice, Inbred C57BL;Middle Aged;Myelin Sheath / pathology;Amino Acid Transport System X-AG / metabolism;Polycomb Repressive Complex 1;Humans;Fluorescent Antibody Technique;Species Specificity;Gene Expression*;Nerve Degeneration / pathology*"
n2-4017,"Mice, Knockout;Mice, Inbred C57BL;Genetic Techniques*;Animals;Genetic Variation;Oligonucleotide Array Sequence Analysis;Muscle, Skeletal / metabolism*;Reproducibility of Results;Real-Time Polymerase Chain Reaction / methods*;Species Specificity"
n2-4018,"Quantitative Trait Loci*;Pectinidae / genetics*;Animals;Male;Pectinidae / anatomy & histology*;Genetic Linkage*;Microsatellite Repeats*;Female;Phenotype;Recombination, Genetic"
n2-4019,"Behavior, Addictive / psychology*;Internet*;Students, Medical / psychology*;Adult;Male;Behavior, Addictive / epidemiology;Humans;Anxiety / complications*;Stress, Psychological / complications*;Sleep Initiation and Maintenance Disorders / complications*"
n2-4020,"Coronary Disease / genetics*;Middle Aged;Male;Humans;Genome-Wide Association Study*;Polymorphism, Single Nucleotide*;Aged;Female;Risk Factors"
n2-4021,Squamous Cell Carcinoma of Head and Neck;Head and Neck Neoplasms* / genetics;Genetic Association Studies;Alleles;Male;Humans;Head and Neck Neoplasms* / pathology;Risk Factors;Female;Glutathione Transferase / genetics*
n2-4022,"Genetic Loci;Gene Expression Regulation*;Stem Cells / metabolism*;Regulatory Elements, Transcriptional*;Organ Specificity / genetics;Mice;Mice, Transgenic;Gene Expression Profiling;Adipocytes / cytology;Transcriptional Activation"
